|Food|Grams|Calories|Protein|Fat|Sat.Fat|Fiber|Carbs|Category
299|"9"" diam. pie"|135.0|330.0|3.0|13.0|11.0|0.1|53.0|Desserts, sweets
300|Cherry Pie|135.0|340.0|3.0|13.0|11.0|0.1|55.0|Desserts, sweets
301|Custard|130.0|265.0|7.0|11.0|10.0|0.0|34.0|Desserts, sweets
302|Lemon meringue|120.0|300.0|4.0|12.0|10.0|0.1|45.0|Desserts, sweets
303|Mince|135.0|340.0|3.0|9.0|8.0|0.7|62.0|Desserts, sweets
304|Pumpkin Pie|130.0|265.0|5.0|12.0|11.0|8.0|34.0|Desserts, sweets
305|Puddings Sugar|200.0|770.0|0.0|0.0|0.0|0.0|199.0|Desserts, sweets
306|3 teaspoons sugar|12.0|50.0|0.0|0.0|0.0|0.0|12.0|Desserts, sweets
307|Brown, firm-packed, dark sugar|220.0|815.0|0.0|0.0|0.0|0.0|210.0|Jams, Jellies
308|Syrup|40.0|100.0|0.0|0.0|0.0|0.0|25.0|Jams, Jellies
309|table blends sugar|40.0|110.0|0.0|0.0|0.0|0.0|29.0|Jams, Jellies
310|Tapioca cream pudding|250.0|335.0|10.0|10.0|9.0|0.0|42.0|Desserts, sweets
311|Almonds|70.0|425.0|13.0|38.0|28.0|1.8|13.0|Seeds and Nuts
312|roasted and salted|70.0|439.0|13.0|40.0|31.0|1.8|13.0|Seeds and Nuts
313|Brazil nuts|70.0|457.0|10.0|47.0|31.0|2.0|7.0|Seeds and Nuts
314|Cashews|70.0|392.0|12.0|32.0|28.0|0.9|20.0|Seeds and Nuts
315|coconut sweetened|50.0|274.0|1.0|20.0|19.0|2.0|26.0|Seeds and Nuts
316|Peanut butter|50.0|300.0|12.0|25.0|17.0|0.9|9.0|Seeds and Nuts
317|Peanut butter, natural|50.0|284.0|13.0|24.0|10.0|0.9|8.0|Seeds and Nuts
318|Peanuts|50.0|290.0|13.0|25.0|16.0|1.2|9.0|Seeds and Nuts
319|Pecans|52.0|343.0|5.0|35.0|25.0|1.1|7.0|Seeds and Nuts
320|Sesame seeds|50.0|280.0|9.0|24.0|13.0|3.1|10.0|Seeds and Nuts
321|Sunflower seeds|50.0|280.0|12.0|26.0|7.0|1.9|10.0|Seeds and Nuts
322|Walnuts|50.0|325.0|7.0|32.0|7.0|1.0|8.0|Seeds and Nuts
323|Beer|480.0|228.0|0.0|0.0|0.0|0.0|8.0|Drinks,Alcohol, Beverages
324|Gin|28.0|70.0|0.0|0.0|0.0|0.0|0.0|Drinks,Alcohol, Beverages
325|Wines|120.0|164.0|0.0|0.0|0.0|0.0|9.0|Drinks,Alcohol, Beverages
326|Table (12.2% alcohol)|120.0|100.0|0.0|0.0|0.0|0.0|5.0|Drinks,Alcohol, Beverages
327|Carbonated drinks Artificially sweetened|346.0|0.0|0.0|0.0|0.0|0.0|0.0|Drinks,Alcohol, Beverages
328|Club soda|346.0|0.0|0.0|0.0|0.0|0.0|0.0|Drinks,Alcohol, Beverages
329|Cola drinks|346.0|137.0|0.0|0.0|0.0|0.0|38.0|Drinks,Alcohol, Beverages
330|Fruit-flavored soda|346.0|161.0|0.0|0.0|0.0|0.0|42.0|Drinks,Alcohol, Beverages
331|Ginger ale|346.0|105.0|0.0|0.0|0.0|0.0|28.0|Drinks,Alcohol, Beverages
332|Root beer|346.0|140.0|0.0|0.0|0.0|0.0|35.0|Drinks,Alcohol, Beverages
333|Coffee|230.0|3.0|0.0|0.0|0.0|0.0|1.0|Drinks,Alcohol, Beverages
334|Tea|230.0|4.0|0.0|0.0|0.0|0.0|1.0|Drinks,Alcohol, Beverages
